Date,Volume,Close,High,Low,Open
2016-11-10,57097740,107.79,111.09,105.83,111.09
2016-11-11,34117030,108.43,108.87,106.55,107.12
2016-11-14,50901380,105.71,107.809,104.08,107.71
2016-11-15,32230590,107.11,107.68,106.1593,106.57
2016-11-16,58724080,109.99,110.23,106.6,106.7
2016-11-17,27623150,109.95,110.35,108.83,109.81
2016-11-18,28310840,110.06,110.54,109.66,109.72
2016-11-21,29164190,111.73,111.99,110.01,110.12
2016-11-22,25931710,111.8,112.42,111.4,111.95
2016-11-23,27420550,111.23,111.51,110.33,111.36
2016-11-25,11475920,111.79,111.87,110.95,111.13
2016-11-28,27054320,111.57,112.465,111.39,111.43
2016-11-29,28507780,111.46,112.03,110.07,110.78
2016-11-30,36151450,110.52,112.2,110.27,111.6
2016-12-01,37034520,109.49,110.94,109.03,110.365
2016-12-02,26481320,109.9,110.09,108.85,109.17
2016-12-05,34113880,109.11,110.03,108.25,110.0
2016-12-06,26160560,109.95,110.36,109.19,109.5
2016-12-07,29976030,111.03,111.19,109.16,109.26
2016-12-08,27049830,112.12,112.43,110.6,110.86
2016-12-09,34324350,113.95,114.7,112.31,112.31
2016-12-12,26176690,113.3,115.0,112.49,113.29
2016-12-13,43293350,115.19,115.92,113.75,113.84
2016-12-14,33962370,115.19,116.2,114.98,115.04
2016-12-15,46286150,115.82,116.73,115.23,115.38
2016-12-16,44284660,115.97,116.5,115.645,116.47
2016-12-19,27756760,116.64,117.38,115.75,115.8
2016-12-20,21337310,116.95,117.5,116.68,116.74
2016-12-21,23724430,117.06,117.4,116.78,116.8
2016-12-22,26043820,116.29,116.51,115.64,116.35
2016-12-23,14244050,116.52,116.52,115.59,115.59
2016-12-27,18131970,117.26,117.8,116.49,116.52
2016-12-28,20686510,116.76,118.0166,116.2,117.52
2016-12-29,14979680,116.73,117.1095,116.4,116.45
2016-12-30,30555900,115.82,117.2,115.43,116.65
2017-01-03,28769220,116.15,116.33,114.76,115.8
2017-01-04,21081620,116.02,116.51,115.75,115.85
2017-01-05,22115100,116.61,116.8642,115.81,115.92
2017-01-06,31714820,117.91,118.16,116.47,116.78
2017-01-09,33420290,118.99,119.43,117.94,117.95
2017-01-10,24432660,119.11,119.38,118.3,118.77
2017-01-11,27453130,119.75,119.93,118.6,118.74
2017-01-12,27057550,119.25,119.3,118.21,118.895
2017-01-13,26083030,119.04,119.62,118.81,119.11
2017-01-17,34412090,120.0,120.24,118.22,118.34
2017-01-18,23687350,119.99,120.5,119.71,120.0
2017-01-19,25554290,119.78,120.09,119.37,119.4
2017-01-20,29922650,120.0,120.45,119.7346,120.45
