Ticker,Status
RPPINFRA.NS,insufficient_history
GPNE,no_data
0104.HK,good
CNP,good
KGF.L,good
PG.BA,good
DGO.AX,no_data
VRA,insufficient_history
2354.TW,good
D13.AX,insufficient_history
PCO,no_data
DVN,good
INFI,no_data
ORIA.PA,good
CB,good
INSD.PA,no_data
USE.MU,no_data
RCO.AX,no_data
TCSA3.SA,good
RITT,good
CWX.TO,no_data
AKO-A,good
GTR.AX,good
MPCK.MU,good
0392.HK,good
3038.TW,good
VSAT,good
8211.HK,good
SJR-B.TO,no_data
VKA.AX,insufficient_history
MO,good
MEI.AX,good
G1A.MU,good
VT9.DU,no_data
SCD.CO,no_data
GBT,no_data
PGNX,no_data
CLA.AX,good
ROM.OL,good
RNY.DE,no_data
RUL.AX,good
PLI.TO,no_data
SLVH,no_data
BCLN.SG,good
PRG.DE,insufficient_history
NSP.V,no_data
MELE.BR,good
GIN.SG,no_data
PSG.MC,good
CYNK,no_data
GLOP,no_data
BILN.L,good
TLX.MU,insufficient_history
QUB.AX,good
1062.HK,good
FDX.DU,good
ALM.PA,no_data
3356.TW,good
EBG.AX,good
W,insufficient_history
KHANDSE.NS,good
FNT.AX,no_data
WDP.DU,good
8109.HK,no_data
6117.TW,good
CSFL,no_data
UTMR,no_data
STAN.MX,no_data
TPW.AX,insufficient_history
CFX.TO,good
HMNF,no_data
AB1.HA,no_data
ACU,good
TENX,good
MLIN.L,no_data
OHLN.MX,insufficient_history
HVT.L,good
INNA.SG,insufficient_history
SHLM,good
PRTY,no_data
SPPI,no_data
LLD.HA,good
TRI.TO,good
3933.HK,good
MKA.V,insufficient_history
NITINFIRE.NS,good
APGA,no_data
U96.SI,good
ALMGI.PA,good
DISH.MX,no_data
ISFT.NS,insufficient_history
0738.HK,good
BELE.ST,no_data
SIS.TO,good
93M.DU,no_data
ZX,no_data
TTI,good
GWI1.SG,no_data
KFE.AX,no_data
SNHY,no_data
AHCG.L,insufficient_history
GERN,good
KAS.V,no_data
KMX,good
PHI.AX,no_data
EXEL,good
SGMA,good
SLCE3.SA,good
ER.TO,no_data
ZCL.TO,no_data
BIG,no_data
0329.HK,good
TWTR,no_data
NERV,insufficient_history
CTD.AX,insufficient_history
COK.BE,good
SUL1.BE,no_data
GAMA.L,insufficient_history
JPASSOCIAT.NS,good
K3DD.SI,no_data
PKT.V,good
ENMT3.SA,good
CCK,good
SRZ.AX,good
SAPR3.SA,good
BCO.HA,good
FMBI,no_data
ZMDC,no_data
EVZ.AX,good
3337.HK,good
MGG.V,insufficient_history
PPK.V,no_data
AGJ.AX,no_data
TMO.MX,insufficient_history
LPDC.NS,good
EVT.AX,good
CTAX3.SA,no_data
GNC.L,good
VOW4.SG,insufficient_history
ENA.V,good
FZR.AX,good
3311.HK,good
1000.HK,good
SUM,insufficient_history
URE.TO,good
0408.HK,good
MGM.MX,good
0332.HK,good
RELIGARE.NS,good
0592.HK,good
SRGZ,good
TV.TO,no_data
IBM.DE,good
WISE.ST,good
TV,good
BFC.AX,insufficient_history
BLVD,no_data
UHS,good
EW,good
PAR,good
BSLI4.SA,insufficient_history
PTD.L,no_data
