gvkey,datadate,cshtrd,prccd,prchd,prcld,prcod
001690,2001-10-12,5140400.00000000,18.01000000,18.08000000,16.86000000,
001690,2001-10-15,5692000.00000000,17.99000000,18.38000000,17.55000000,
001690,2001-10-16,3624100.00000000,18.01000000,18.20000000,17.77000000,
001690,2001-10-17,5091400.00000000,16.99000000,18.41000000,16.96000000,
001690,2001-10-18,10939800.00000000,18.00000000,18.23000000,17.29000000,
001690,2001-10-19,2978400.00000000,18.30000000,18.40000000,17.88000000,
001690,2001-10-22,6998900.00000000,19.02000000,19.07000000,18.09000000,
001690,2001-10-23,12231800.00000000,18.14000000,19.42000000,17.87000000,
001690,2001-10-24,6687000.00000000,18.95000000,19.09000000,17.75000000,
001690,2001-10-25,4552700.00000000,19.19000000,19.25000000,18.16000000,
001690,2001-10-26,4981500.00000000,18.67000000,19.25000000,18.62000000,
001690,2001-10-29,4271100.00000000,17.63000000,18.67000000,17.55000000,
001690,2001-10-30,4942200.00000000,17.60000000,18.00000000,17.06000000,
001690,2001-10-31,4872500.00000000,17.56000000,18.40000000,17.44000000,
001690,2001-11-01,5589200.00000000,18.59000000,18.78000000,17.25000000,
001690,2001-11-02,3521500.00000000,18.57000000,18.86000000,18.16000000,
001690,2001-11-05,4208400.00000000,19.07000000,19.25000000,18.61000000,
001690,2001-11-06,5643100.00000000,19.57000000,19.62000000,18.53000000,
001690,2001-11-07,6839100.00000000,19.59000000,20.13000000,19.33100000,
001690,2001-11-08,6109700.00000000,18.71000000,19.89600000,18.57000000,
001690,2001-11-09,2398100.00000000,18.71000000,19.25000000,18.55000000,
001690,2001-11-12,3597400.00000000,18.75000000,19.17000000,17.96000000,
001690,2001-11-13,4011000.00000000,19.37000000,19.39000000,18.71000000,
001690,2001-11-14,3949100.00000000,19.61000000,19.90000000,19.15000000,
001690,2001-11-15,3804100.00000000,19.45000000,19.90000000,19.23000000,
001690,2001-11-16,4119000.00000000,18.97000000,19.29000000,18.40000000,
001690,2001-11-19,5938600.00000000,20.00000000,20.05000000,18.96000000,
001690,2001-11-20,4939000.00000000,19.53000000,20.20000000,19.50000000,
001690,2001-11-21,3599700.00000000,19.68000000,19.80000000,19.26000000,
001690,2001-11-23,1071500.00000000,19.84000000,19.95000000,19.57000000,
001690,2001-11-26,8226600.00000000,21.37000000,21.55000000,19.88000000,
001690,2001-11-27,4795600.00000000,21.00000000,21.52000000,20.50980000,
001690,2001-11-28,4482600.00000000,20.53000000,21.21000000,20.41000000,
001690,2001-11-29,3620800.00000000,20.42000000,20.70000000,20.19000000,
001690,2001-11-30,5427000.00000000,21.30000000,21.44000000,20.25000000,
001690,2001-12-03,3235100.00000000,21.05000000,21.28000000,20.60000000,
001690,2001-12-04,6793100.00000000,22.40000000,22.56000000,20.72000000,
001690,2001-12-05,10153000.00000000,23.76000000,24.03000000,22.17000000,
001690,2001-12-06,6052400.00000000,22.78000000,23.50000000,22.14000000,
001690,2001-12-07,3634200.00000000,22.54000000,22.71000000,22.00000000,
001690,2001-12-10,3035100.00000000,22.54000000,22.99000000,22.23000000,
001690,2001-12-11,3669200.00000000,21.78000000,22.85000000,21.65000000,
001690,2001-12-12,3436800.00000000,21.49000000,21.92000000,21.25000000,
001690,2001-12-13,3532900.00000000,21.00000000,21.55000000,20.50000000,
001690,2001-12-14,3387800.00000000,20.39000000,20.83900000,20.09000000,
001690,2001-12-17,3102000.00000000,20.62000000,21.00000000,20.19000000,
001690,2001-12-18,4200700.00000000,21.01000000,21.33000000,20.22000000,
001690,2001-12-19,5177800.00000000,21.62000000,21.68000000,20.47000000,
001690,2001-12-20,3944000.00000000,20.67000000,21.47000000,20.62000000,
001690,2001-12-21,4578800.00000000,21.00000000,21.54000000,20.80000000,
001690,2001-12-24,904000.00000000,21.36000000,21.45000000,20.90000000,
001690,2001-12-26,2615500.00000000,21.49000000,22.30000000,21.14100000,
001690,2001-12-27,3419800.00000000,22.07000000,22.25000000,21.58000000,
001690,2001-12-28,5341500.00000000,22.43000000,23.00000000,21.96000000,
001690,2001-12-31,2460400.00000000,21.90000000,22.66000000,21.83000000,
001690,2002-01-02,9453900.00000000,23.30000000,23.30000000,21.96000000,
001690,2002-01-03,10928700.00000000,23.58000000,23.75000000,22.77000000,
001690,2002-01-04,7320800.00000000,23.69000000,23.95000000,22.99000000,
001690,2002-01-07,7937900.00000000,22.90000000,24.00000000,22.75000000,
001690,2002-01-08,8036400.00000000,22.61000000,23.05000000,22.46000000,
001690,2002-01-09,5850600.00000000,21.65000000,22.93000000,21.28000000,
001690,2002-01-10,8084600.00000000,21.23000000,21.46900000,20.25900000,
001690,2002-01-11,6227100.00000000,21.05000000,21.84000000,20.60000000,
001690,2002-01-14,7423200.00000000,21.15000000,21.40000000,20.90000000,
001690,2002-01-15,5184300.00000000,21.70000000,21.76000000,21.21000000,
001690,2002-01-16,10015800.00000000,20.78000000,21.41000000,20.50000000,
001690,2002-01-17,11795200.00000000,22.48000000,22.74000000,21.87000000,
001690,2002-01-18,6050200.00000000,22.17000000,22.60000000,21.96000000,
001690,2002-01-22,5844700.00000000,21.82000000,22.37000000,21.82000000,
